iter	Passed	Remaining
716	4423	1746
717	4431	1740
718	4438	1734
719	4445	1728
720	4451	1722
721	4457	1716
722	4463	1710
723	4470	1704
724	4478	1698
725	4485	1692
726	4492	1686
727	4498	1680
728	4504	1674
729	4510	1668
730	4517	1662
731	4523	1656
732	4529	1650
733	4536	1644
734	4542	1637
735	4549	1631
736	4556	1625
737	4563	1620
738	4569	1613
739	4575	1607
740	4581	1601
741	4588	1595
742	4595	1589
743	4602	1583
744	4609	1577
745	4615	1571
746	4621	1565
747	4629	1559
748	4636	1553
749	4642	1547
750	4650	1541
751	4655	1535
752	4662	1529
753	4669	1523
754	4676	1517
755	4681	1511
756	4688	1505
757	4695	1498
758	4701	1492
759	4708	1487
760	4715	1480
761	4721	1474
762	4729	1468
763	4735	1462
764	4743	1457
765	4750	1451
766	4756	1444
767	4762	1438
768	4769	1432
769	4775	1426
770	4782	1420
771	4789	1414
772	4796	1408
773	4803	1402
774	4811	1396
775	4818	1390
776	4825	1385
777	4832	1378
778	4839	1372
779	4845	1366
780	4852	1360
781	4859	1354
782	4865	1348
783	4871	1342
784	4878	1336
785	4884	1329
786	4891	1323
787	4898	1317
788	4905	1311
789	4912	1305
790	4918	1299
791	4925	1293
792	4931	1287
793	4937	1281
794	4944	1274
795	4950	1268
796	4956	1262
797	4962	1256
798	4968	1249
799	4974	1243
800	4979	1237
801	4986	1231
802	4994	1225
803	5001	1219
804	5007	1212
805	5013	1206
806	5020	1200
807	5026	1194
808	5032	1188
809	5038	1181
810	5044	1175
811	5049	1169
812	5055	1162
813	5062	1156
814	5067	1150
815	5073	1143
816	5078	1137
817	5084	1131
818	5090	1124
819	5096	1118
820	5102	1112
821	5108	1106
822	5114	1100
823	5120	1093
824	5127	1087
825	5133	1081
826	5140	1075
827	5146	1069
828	5152	1062
829	5158	1056
830	5165	1050
831	5170	1044
832	5178	1038
833	5185	1032
834	5192	1026
835	5199	1019
836	5206	1013
837	5214	1007
838	5220	1001
839	5227	995
840	5234	989
841	5240	983
842	5249	977
843	5255	971
844	5261	965
845	5270	959
846	5277	953
847	5284	947
848	5291	941
849	5299	935
850	5307	929
851	5313	922
852	5320	916
853	5327	910
854	5334	904
855	5340	898
856	5348	892
857	5358	886
858	5364	880
859	5371	874
860	5380	868
861	5386	862
862	5393	856
863	5399	849
864	5406	843
865	5412	837
866	5420	831
867	5426	825
868	5431	818
869	5437	812
870	5444	806
871	5450	800
872	5456	793
873	5462	787
874	5468	781
875	5474	774
876	5480	768
877	5486	762
878	5492	756
879	5498	749
880	5504	743
881	5510	737
882	5515	730
883	5522	724
884	5528	718
885	5534	712
886	5540	705
887	5546	699
888	5553	693
889	5558	687
890	5565	680
891	5571	674
892	5577	668
893	5584	662
894	5591	655
895	5597	649
896	5604	643
897	5611	637
898	5618	631
899	5624	624
900	5630	618
901	5637	612
902	5643	606
903	5650	600
904	5656	593
905	5664	587
906	5670	581
907	5676	575
908	5682	568
909	5689	562
910	5695	556
911	5702	550
912	5709	544
913	5715	537
914	5721	531
915	5727	525
916	5733	518
917	5740	512
918	5746	506
919	5752	500
920	5760	494
921	5766	487
922	5771	481
923	5778	475
924	5785	469
925	5792	462
926	5798	456
927	5804	450
928	5810	444
929	5816	437
930	5822	431
931	5828	425
932	5834	418
933	5840	412
934	5846	406
935	5853	400
936	5860	394
937	5866	387
938	5872	381
939	5879	375
940	5884	368
941	5890	362
942	5896	356
943	5901	350
944	5907	343
945	5913	337
946	5918	331
947	5924	324
948	5929	318
949	5934	312
950	5941	306
951	5948	299
952	5954	293
953	5959	287
954	5966	281
955	5972	274
956	5978	268
957	5984	262
958	5991	256
959	5997	249
960	6003	243
961	6010	237
962	6015	231
963	6021	224
964	6027	218
965	6033	212
966	6039	206
967	6045	199
968	6052	193
969	6057	187
970	6063	181
971	6069	174
972	6075	168
973	6082	162
974	6087	156
975	6093	149
976	6099	143
977	6105	137
978	6111	131
979	6118	124
980	6123	118
981	6130	112
982	6136	106
983	6143	99
984	6152	93
985	6159	87
986	6165	81
987	6172	74
988	6180	68
989	6186	62
990	6192	56
991	6199	49
992	6206	43
993	6213	37
994	6220	31
995	6226	25
996	6233	18
997	6239	12
998	6245	6
999	6254	0
